index,season,episode,episode_name,director,writer,character,text,text_w_direction,imdb_rating,total_votes,air_date
22368,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,Shut it. Shut it.,Shut it. Shut it.,9.6,5948,2009-02-01
22369,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,"We found ourselves on the less prepared side of things when Stanley had his... when his heart went berserk. And I knew exactly what to do, but in a much more real sense I had no idea what to do. So I thought we should have CPR training class and of course you can't get the practice dummy unless the instructor comes along with it. Red Cross, you know, racket.","We found ourselves on the less prepared side of things when Stanley had his... when his heart went berserk. And I knew exactly what to do, but in a much more real sense I had no idea what to do. So I thought we should have CPR training class and of course you can't get the practice dummy unless the instructor comes along with it. Red Cross, you know, racket.",9.6,5948,2009-02-01
22370,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Kevin,I can't keep doing this forever.,[giving chest compressions to the practice dummy] I can't keep doing this forever.,9.6,5948,2009-02-01
22371,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,CPR Trainer,It's been 20 seconds.,It's been 20 seconds.,9.6,5948,2009-02-01
22372,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Kevin,Call it.,Call it.,9.6,5948,2009-02-01
22373,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,CPR Trainer,Would you like to try next?,Would you like to try next?,9.6,5948,2009-02-01
22374,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Dwight,Absolutely I would not.,Absolutely I would not.,9.6,5948,2009-02-01
22375,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,You know who I really think should go? Stanley.,You know who I really think should go? Stanley.,9.6,5948,2009-02-01
22376,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Stanley,"Oh, I don't know.","Oh, I don't know.",9.6,5948,2009-02-01
22377,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Phyllis,"That's not a good idea, Michael.","That's not a good idea, Michael.",9.6,5948,2009-02-01
22378,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,Come on.,Come on.,9.6,5948,2009-02-01
22379,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Phyllis,He needs to rest.,He needs to rest.,9.6,5948,2009-02-01
22380,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,No rest for the sick. We are not always going to be there to coddle your heart back when it disappears to be working. What are you gonna do if you're by yourself and your heart stops?,No rest for the sick. We are not always going to be there to coddle your heart back when it disappears to be working. What are you gonna do if you're by yourself and your heart stops?,9.6,5948,2009-02-01
22381,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Stanley,I would die.,I would die.,9.6,5948,2009-02-01
22382,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,And you're okay with that?,And you're okay with that?,9.6,5948,2009-02-01
22383,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Stanley,I'm okay with the logic of it.,I'm okay with the logic of it.,9.6,5948,2009-02-01
22384,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,"Uh-uh. No, no, no. Come on. Get up. Let's do this.","Uh-uh. No, no, no. Come on. Get up. Let's do this.",9.6,5948,2009-02-01
22385,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Stanley,"Yes. I had a heart attack. I would quit, but I'm too old to find another job and I don't have enough saved to retire. I feel like I'm working in my own casket.","Yes. I had a heart attack. I would quit, but I'm too old to find another job and I don't have enough saved to retire. I feel like I'm working in my own casket.",9.6,5948,2009-02-01
22386,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,Come on Stanley. You're losing you. You're losing you. Do it!,Come on Stanley. You're losing you. You're losing you. Do it!,9.6,5948,2009-02-01
22387,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Angela,Michael!,Michael!,9.6,5948,2009-02-01
22388,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,This is you we're talking about.,This is you we're talking about.,9.6,5948,2009-02-01
22389,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Angela,Michael.,Michael.,9.6,5948,2009-02-01
22390,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,"Okay, okay. I'll show them. Here we go. Stanley. All right.","Okay, okay. I'll show them. Here we go. [whispers] Stanley. All right.",9.6,5948,2009-02-01
22391,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,CPR Trainer,"So, assessing the situation. Are they breathing?","So, assessing the situation. Are they breathing?",9.6,5948,2009-02-01
22392,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,"No, Rose. They are not breathing. And they have no arms or legs.","No, Rose. They are not breathing. And they have no arms or legs.",9.6,5948,2009-02-01
22393,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Rose,"No, that's not part of it.","No, that's not part of it.",9.6,5948,2009-02-01
22394,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,"Where are they? You know what? If we come across somebody with no arms or legs do we bother resuscitating them? I mean, what kind of quality of life do we have there?","Where are they? You know what? If we come across somebody with no arms or legs do we bother resuscitating them? I mean, what kind of quality of life do we have there?",9.6,5948,2009-02-01
22395,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Kevin,I would want to live with no legs.,I would want to live with no legs.,9.6,5948,2009-02-01
22396,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,"How about no arms? No arms or legs is basically how you exist right now, Kevin. You don't do anything.","How about no arms? No arms or legs is basically how you exist right now, Kevin. You don't do anything.",9.6,5948,2009-02-01
22397,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Rose,"All right, well, lets get back to it. 'Cause you're losing him. Okay, too fast. Everyone, we need to pump at a pace of a 100 beats per minute .","All right, well, lets get back to it. 'Cause you're losing him. Okay, too fast. Everyone, we need to pump at a pace of a 100 beats per minute .",9.6,5948,2009-02-01
22398,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,"okay, that's uh, hard to keep track. How many is that per hour?","okay, that's uh, hard to keep track. How many is that per hour?",9.6,5948,2009-02-01
22399,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Jim,How's that gonna help you?,How's that gonna help you?,9.6,5948,2009-02-01
22400,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,I will divide and then count to it.,I will divide and then count to it.,9.6,5948,2009-02-01
22401,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Jim,Right.,Right.,9.6,5948,2009-02-01
22402,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Rose,"Okay. Well, a good trick is to pump to the tune of 'Staying Alive' by the Bee Gees. Do you know that song?","Okay. Well, a good trick is to pump to the tune of 'Staying Alive' by the Bee Gees. Do you know that song?",9.6,5948,2009-02-01
22403,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,"Yes, yes I do. I love that song. First I was afraid, I was petrified.","Yes, yes I do. I love that song. [clears throat, begins to sing] First I was afraid, I was petrified.",9.6,5948,2009-02-01
22404,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Rose,"No, it's--Ah, Ah, Ah, Ah, stayin' alive, stayin' alive.","No, it's--Ah, Ah, Ah, Ah, stayin' alive, stayin' alive.",9.6,5948,2009-02-01
22405,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,"Okay, I got it.","Okay, I got it.",9.6,5948,2009-02-01
22406,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Creed,You were in the parking lot earlier. That's how I know you.,[to Rose] You were in the parking lot earlier. That's how I know you.,9.6,5948,2009-02-01
22407,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,"Ah, Ah, Ah, Ah, stayin' alive, stayin' alive Ah, Ah, Ah, Ah, stayin' alive, stayin' alive.","Ah, Ah, Ah, Ah, stayin' alive, stayin' alive [Andy joins in] Ah, Ah, Ah, Ah, stayin' alive, stayin' alive.",9.6,5948,2009-02-01
22408,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,"Ah, Ah, Ah, Ah...","Ah, Ah, Ah, Ah...",9.6,5948,2009-02-01
22409,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Andy,"Oh you can tell by the way I use my walk I'm a woman's man, no time to talk. Music loud, women warm, been kicked around since I was born. Oh, it's alright, it's okay, you can look the other way. Loo do do!","Oh you can tell by the way I use my walk I'm a woman's man, no time to talk. Music loud, women warm, been kicked around since I was born. Oh, it's alright, it's okay, [Michael and Kelly join in] you can look the other way. Loo do do!",9.6,5948,2009-02-01
22410,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Rose,Okay!,Okay!,9.6,5948,2009-02-01
22411,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Andy,"Da, da, da, da, da, da, da","Da, da, da, da, da, da, da",9.6,5948,2009-02-01
22412,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Rose,Okay!,Okay!,9.6,5948,2009-02-01
22413,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Everyone,"Stayin' alive, stayin' alive.","[muttering] Stayin' alive, stayin' alive.",9.6,5948,2009-02-01
22414,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Rose,"Yeah, okay. You didn't maintain 100 beats per minute, and the ambulance didn't arrive because nobody called 911. So you lost him.","Yeah, okay. You didn't maintain 100 beats per minute, and the ambulance didn't arrive because nobody called 911. So you lost him.",9.6,5948,2009-02-01
22415,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Dwight,"Okay, he's dead. Anyone know what we do next? Anybody? Rose?","Okay, he's dead. Anyone know what we do next? Anybody? Rose?",9.6,5948,2009-02-01
22416,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Rose,I have no idea.,I have no idea.,9.6,5948,2009-02-01
22417,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Dwight,Anyone else?,Anyone else?,9.6,5948,2009-02-01
22418,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Phyllis,We bury him?,We bury him?,9.6,5948,2009-02-01
22419,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Dwight,"Wrong. Ehh. Check for an organ donor card. If he has one, we only have minutes to harvest.","Wrong. Ehh. Check for an organ donor card. If he has one, we only have minutes to harvest.",9.6,5948,2009-02-01
22420,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Creed,"He has no wallet, I checked.","He has no wallet, I checked.",9.6,5948,2009-02-01
22421,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,He is an organ donor.,He is an organ donor.,9.6,5948,2009-02-01
22422,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Dwight,He is.,He is.,9.6,5948,2009-02-01
22423,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,Yeah.,Yeah.,9.6,5948,2009-02-01
22424,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Dwight,Get me some ice and a styrofoam bucket. Here we go.,Get me some ice and a styrofoam bucket. [pulls out knife from holder that is attached to his leg] Here we go.,9.6,5948,2009-02-01
22425,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Angela,Oh my God! Dwight!,Oh my God! Dwight!,9.6,5948,2009-02-01
22426,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Kelly,Dwight!,Dwight!,9.6,5948,2009-02-01
22427,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Angela,What are you-- What are you doing?,What are you-- [people are yelling] What are you doing?,9.6,5948,2009-02-01
22428,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Dwight,We search for the organs. Where's the heart? The precious heart.,We search for the organs. Where's the heart? The precious heart.,9.6,5948,2009-02-01
22429,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Stanley,I'm not feeling well. I need to sit down.,I'm not feeling well. I need to sit down.,9.6,5948,2009-02-01
22430,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,"Hey, Stanley.","Hey, Stanley.",9.6,5948,2009-02-01
22431,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Andy,Stanley.,Stanley.,9.6,5948,2009-02-01
22432,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,Are you okay?,Are you okay?,9.6,5948,2009-02-01
